descriere,pretAchizitie,pretVanzare,manopera
"Corp de iluminat de siguranta pentru marcarea hidrantilor LED -3W, montat aparent, cu functionare in permanenta, cu acumulator, autonomie 3h, inclusiv accesorii",5.92,7.40,1.97
"Corp de iluminat de siguranta impotriva panicii LED -3W, montat aparent, cu functionare nepermanenta, cu acumulator, autonomie 3h, IP20, inclusiv accesorii",5.92,7.40,1.97
"Dispozitiv de comutare automata, integrat in aparatul de iluminat, face trecerea de pe alimentarea principala pe cea de siguranta (Kit de emergență autonomie 3h pentru aparat de iluminat, incluzând baterie locală autonomie 3h)",7.89,9.86,1.97
"Corp de iluminat de siguranta pentru marcarea declansatoarelor manuale LED -3W, montat aparent, cu functionare in permanenta, cu acumulator, autonomie 3h, inclusiv accesorii",5.92,7.40,1.97
Conexiuni corpuri de iluminat,0.00,0.00,0.39
Cablu CSYY 7x2.5mmp,0.49,0.61,0.39
Probe si verificari grup electrogen,0.00,0.00,59.17
Verificare priza de pamant,0.00,0.00,39.44
Transport rutier grup electrogen,0.00,0.00,98.61
"Racordarea cu papcui a conductoarelor de cupru cu sectiuni de 16, 25, 35mm",0.99,1.23,4.93
Diblu metalic cu diametru nominal de 6 sau 8mm,0.01,0.01,0.02
Doze de legatura si conexiuni,0.49,0.62,0.79
Doze centralizatoare din plastic ignifug 200x100x100,3.16,3.94,1.97
Cap terminal interior legat la borne < 2x10mmp,0.20,0.25,0.99
Cap terminal interior legat la borne < 4x10mmp,0.30,0.37,0.99
Presetupe pentru etansarea cablurilor din exterior,21.69,27.12,3.94
Etichete pentru cabluri ,2.96,3.70,4.93
"Cleme rezistente la foc 90 min , inclusiv accesorii de montaj",0.24,0.30,0.24
"Izolatie rezistenta la foc F90 pentru  trecerea cablurilor  prin pereti si plafoane, complet cu toate accesoriile necesare pentru diametre de pana la 150mm.  ",1.97,2.47,2.37
Cablu din cupru tip N2XH 3x240+120+120mmp,17.93,20.61,3.94
Presetupe pentru etansarea cablurilor din exterior,21.69,27.12,3.94
"Țeavă PVC-KG, diametru exterior 160, hm=-0,9 fata de CTA",0.87,1.08,0.39
"Detector optic de fum; interactiv; conține izolator la scurtcircuit; indicator optic de stare LED (normală, alarmă sau detectare defect); sistem de securizare în soclu; soclu inclus",4.73,5.92,2.96
"Detector combinat de fum si temperatura; interactiv; conține izolator la scurtcircuit; indicator optic de stare LED (normală, alarmă sau detectare defect); sistem de securizare în soclu; soclu inclus",5.52,6.90,2.96
"Indicator optic, 24Vcc, conventional",0.99,1.23,0.99
Buton de incendiu analog adresabil; cu izolator,6.90,8.63,2.37
Sirena de interior adresabila; Montaj pe perete,10.85,13.56,2.96
Sirena de exterior cu flash; Alimentare: 24 V/ 2.5 Ah; acumulatori inclusi,11.83,14.79,3.94
"Modul adresabil 8 intrari / 8 iesiri programabile, montat in carcasa",34.51,43.14,7.89
"Motor deschidere trapa de fum, alim.24Vcc",88.75,110.94,15.78
"Sursa de alimentare, 5A, 2 acum. 2x18Ah/12V inclusi",34.51,43.14,4.93
"Cablu rezistent la foc 30 de minute JE-H(St)H E30 2x2x0,8mm",0.12,0.15,0.24
Cablu alimentare NHXH E30 3x1.5,0.24,0.31,0.24
Cablu alimentare NHXH E30 4x2.5,0.35,0.44,0.24
"Tub PVC Dn=20mm, cleme si prinderi incluse (cleme rezistente la foc si omologate)",0.18,0.22,0.28
Executat treceri prin pereti si plafoane pana la diametre D=102mm,0.00,0.00,1.97
Izolatie rezistenta la foc pentru cablu individual la trecerea prin pereti usori,1.97,2.47,2.37
"Izolatie rezistenta la foc pentru trecerea cablurilor prin pereti si plafoane, complet cu toate accesoriile necesare pentru diametre de pana la 150mm",2.37,2.96,2.96
Diblu metalic cu diametrul nominal 6 sau 8 mm ,0.01,0.01,0.02
"Placa suplimentare 1 bucla cu 128 de elemente ,compatibila cu sistemul de detectie incendiu achizitionat ,complet echipata.",49.30,61.63,19.72
"Material marunt (clipsuri, dibluri, holsuruburi, bride, fludor, conectori, etc)",39.44,49.30,39.44
Etichete și inscripționări,11.83,14.79,69.03
"Cleme rezistente la foc 30 minute ,inclusiv elemente de prindere si montaj",0.06,0.07,0.08
"Detector liniar de temperatura cu fir senzitiv,complet echipat",128.19,160.24,11.83
Fir senzitiv,0.35,0.44,0.24
Modul integrare in bucla detector liniar de temperatura,27.61,34.51,5.92
"Priza simpla RJ45, montata ingropat, complet echipata",1.58,1.97,1.97
"Patch panel 24 de porturi RJ45 Cat.6, complet echipat ",7.89,9.86,11.83
Patch panel fibra optica echipat cu 12 adaptori LC Duplex Multimode pentru 24 fibre 1U 19 inch negru,9.86,12.33,7.89
Oraganizatoare orizontale,1.58,1.97,0.99
Cablu UTP cat.6,0.09,0.11,0.24
"Patch cord UTP cat.6, 1m",0.20,0.25,0.20
Cablu N2XH 3x2.5 mm,0.21,0.26,0.24
Cablu fibra optica MM OM3 4x50/125,0.20,0.25,0.24
"Firida de bransament pentru exteriori echipata cu o regleta de 10 perechi cu protectie, caseta 12 suduri",13.02,16.27,3.94
"Tub izolant de protectie LZOH, etans IPEY 20 , inclusiv coturi si mufe  - materiale si montaj",0.12,0.15,0.16
Etichete cabluri,0.14,0.17,0.20
Etichete la prize si patch panel-uri,0.14,0.17,0.20
Dibluri si holtzsuruburi 6 mm,0.01,0.01,0.02
Executat slit in perete pentru pozare TUB IPEY,0.30,0.37,0.59
Executat treceri prin pereti si plafoane pana la diametre  D= 52mm,0.39,0.49,1.97
"Izolatie rezistenta la foc F90 pentru  trecerea cablurilor  prin pereti si plafoane, complet cu toate accesoriile necesare pentru diametre de pana la 150mm.  ",2.37,2.96,2.96
Etansare la umezeala a cablurilor prin gol in perete de beton prin piesa de etansare tip Presetupa,21.69,27.12,5.92
"Priza simpla RJ45, montata in doza de pardoseala, complet echipata",1.58,1.97,1.58
"Priza TV, montaj ingropat, 1dB",2.96,3.70,1.97
"Splitter interior 5 CAI , 1IN/4OUT",4.93,6.16,4.93
"Tap interior 2 CAI , 1IN/2OUT",2.96,3.70,1.97
"Mufa ""F"" pentru splitter",0.20,0.25,0.39
"Montare doze de aparat priza , montaj ingropat",0.20,0.25,0.39
Cutie metalica ,2.96,3.70,0.99
"Doze de ramificatie, montaj ingropat",0.69,0.86,0.99
Cablu coaxial RG6,0.14,0.17,0.24
Cablu N2XH 3x2.5 mm,0.21,0.26,0.24
"Tub izolant de protectie LZOH, etans IPEY 20 , inclusiv coturi si mufe  - materiale si montaj",0.12,0.15,0.16
Etichete si inscriptionari cabluri,0.20,0.25,0.20
Diblu si holtzsuruburi metalic cu diametrul nominal 6 sau 8 mm ,0.01,0.01,0.02
"Patch panel 24 de porturi RJ45 Cat.6, complet echipat ",7.89,9.86,3.94
"Patch cord UTP cat.6, 2 m ",0.20,0.25,0.20
Cablu UTP Cat.6 ,0.12,0.15,0.24
Cablu VGA de 5m,1.08,1.36,0.24
Cablu N2XH 3x2.5 mm,0.21,0.26,0.24
"Tub izolant de protectie LZOH, etans IPEY 20 , inclusiv coturi si mufe  - materiale si montaj",0.12,0.15,0.16
Tub copex D=16mm,0.08,0.10,0.16
Doze de conexiuni 150x150,0.69,0.86,0.99
Dibluri si holtzsuruburi 6 mm,0.01,0.01,0.02
Conectori RJ45,0.10,0.12,0.39
Etichete pentru cabluri UTP Cat.6,0.20,0.25,0.20
Eticehte pentru patch panel,0.20,0.25,0.20
Executat treceri prin pereti si plafoane pana la diametre  D= 52mm,0.39,0.49,1.97
"Izolatie rezistenta la foc F90 pentru  trecerea cablurilor  prin pereti si plafoane, complet cu toate accesoriile necesare pentru diametre de pana la 150mm.  ",2.37,2.96,2.96
Buton de iesire ,2.96,3.70,2.37
Buton de urgenta,3.55,4.44,2.37
Contact magnetic,0.39,0.49,1.58
Cartele de acces,0.10,0.12,0.10
Cablu LiYCY 6x0.75,0.19,0.23,0.24
Cablu LiYCY 4x0.75,0.13,0.16,0.24
Cablu LiYCY 2x0.25,0.07,0.09,0.24
Cablu FTP Cat.6 ,0.12,0.15,0.24
Cablu N2XH 3x2.5 mm,0.21,0.26,0.24
"Tub izolant de protectie LZOH, etans IPEY 20 , inclusiv coturi si mufe  - materiale si montaj",0.12,0.15,0.16
Doze de conexiuni 150x150,0.69,0.86,0.99
Dibluri si holtzsuruburi 6 mm,0.01,0.01,0.02
Etichete cabluri ,0.20,0.25,0.20
"Izolatie rezistenta la foc F90 pentru  trecerea cablurilor  prin pereti si plafoane, complet cu toate accesoriile necesare pentru diametre de pana la 150mm.  ",2.37,2.96,2.37
"Cablu electric JE-H(St)H 2x2x0,8mmp",0.14,0.17,0.24
